user,mac,staylength
24443,46381,4
24492,8030,4
24500,23638,4
24511,34382,4
24526,6715,4
24605,11415,4
24622,22093,4
24657,28168,4
24712,16685,4
24715,2544,4
24773,33141,4
24781,51339,4
24848,5732,4
24994,6834,4
25240,20783,4
25301,31357,4
25321,37168,4
25324,61126,4
25336,32519,4
25400,17530,4
25461,28404,4
25505,47407,4
25514,55787,4
25539,4697,4
25736,23836,4
25831,4441,4
25894,9457,4
25923,7421,4
26010,56950,4
26050,4376,4
26124,36323,4
26156,59254,4
26281,25068,4
26296,10608,4
26375,39754,4
26399,10796,4
26429,56763,4
26436,53167,4
26509,39723,4
26517,40402,4
26633,16471,4
26662,46369,4
26806,19230,4
26892,62864,4
26980,3928,4
26986,33356,4
27042,12670,4
27094,682,4
27263,51499,4
27306,52867,4
27334,23460,4
27422,7194,4
27458,48113,4
27480,2963,4
27487,3167,4
27681,36562,4
27697,35918,4
27709,30199,4
27729,47875,4
27747,24378,4
27783,53143,4
27785,8209,4
27808,36754,4
27827,15719,4
27843,51577,4
27845,14486,4
27878,14265,4
28047,24801,4
28142,42658,4
28185,43773,4
28204,43587,4
28278,15830,4
28347,6643,4
28460,54638,4
28606,16795,4
28623,5278,4
28644,59056,4
28715,46423,4
28776,42295,4
28796,15805,4
28835,44332,4
28909,1770,4
28954,21681,4
28972,36840,4
29030,7973,4
29080,36426,4
29218,29779,4
29230,3427,4
29245,55992,4
29356,9543,4
29368,30289,4
29368,55291,4
29401,18112,4
29420,4892,4
29490,57067,4
29588,22826,4
29699,20927,4
29752,20574,4
29765,28342,4
29766,61312,4
29940,45306,4
30020,52078,4
30188,60073,4
30300,12155,4
30310,52791,4
30349,48739,4
30407,23411,4
30469,13339,4
30531,27687,4
30540,52317,4
30584,21199,4
30600,54600,4
30628,55202,4
30707,62177,4
30730,10277,4
30771,39324,4
30774,34688,4
30776,56417,4
30811,11136,4
30865,13784,4
30903,13177,4
30994,24173,4
31009,34094,4
